"user_name","user_description","user_link","location","investments","followers","date"
"XY Gaming","We Get Video Gamers Paid","https://angel.co/xy-gaming","Brisbane","Apr ’13",79,2013-04-01
"Black Sheep Capital","Evolved Investing","https://angel.co/black-sheep-capital","Brisbane","May ’15",20,2015-05-01
"Bolt Motorbikes","High performance electric motorbikes with no license, registration or insurance required.","https://angel.co/bolt-motorbikes","San Francisco","Dec ’14",61,2014-12-01
"Tappr","Next generation of payment technology","https://angel.co/tappr-1","Brisbane","Sep ’13",43,2013-09-01
"Pixmoto","Pixmoto Combines Powerful Video Storytelling With Inspiring Call to Action","https://angel.co/next-big-idea","Boulder","Oct ’15",10,2015-10-01
"Ruffle","Send fun, anonymous picture messages to any phone number.","https://angel.co/ruffle","Brisbane","Jun ’15",4,2015-06-01
"BDS.com.au","","https://angel.co/bds-com-au","Brisbane","Mar ’14",15,2014-03-01
"Liquid State","Wordpress for apps.","https://angel.co/liquid-state","Brisbane","Nov ’13",25,2013-11-01
"SwipeAds","CAPTCHA Security & Advertising","https://angel.co/swipeads","Brisbane","Jun ’16",11,2016-06-01
"FunCaptcha","","https://angel.co/funcaptcha","Brisbane","Jun ’16",5,2016-06-01
"HaystackHQ","Visual analytics for legal eDiscovery","https://angel.co/haystackhq","Brisbane","Oct ’11",52,2011-10-01
"Churn.tv","Endless channels of online video.","https://angel.co/churn-tv","Brisbane","Feb ’14",18,2014-02-01
"Corilla","Collaboration tools for technical writers","https://angel.co/corilla","Brisbane","Feb ’15",18,2015-02-01
"River City Labs Accelerator","Seed accelerator program powered by muru-D","https://angel.co/river-city-labs-accelerator","Brisbane","Feb ’16",9,2016-02-01
"Smithsoft","Mobile and Web Application Expertise","https://angel.co/smithsoft","Brisbane","Feb ’15",3,2015-02-01
"ilab Accelerator","ilab is a thriving accelerator that turns tech startups into successful global ventures.","https://angel.co/ilab-accelerator","Brisbane","Jul ’13",55,2013-07-01
"Coltpay","Online and SMS P2P Payments","https://angel.co/coltpay","Brisbane","Jan ’13",6,2013-01-01
"Wikifashion","The ultimate fashion resource.","https://angel.co/wikifashion","Brisbane","Jul ’11",38,2011-07-01
"Hungry Apps","Food and Beverage Mobile Ordering","https://angel.co/hungry-apps","Brisbane","May ’12",25,2012-05-01
"QSPectral Systems","Enabling Connected Health","https://angel.co/qspectral-systems","Brisbane","Jan ’15",4,2015-01-01
"SafetyCulture","Mobile Workplace Safety Management","https://angel.co/safetyculture","Townsville City","Dec ’13",45,2013-12-01
"XY Gaming","We Get Video Gamers Paid","https://angel.co/xy-gaming","Brisbane","Apr ’13",79,2013-04-01
"Black Sheep Capital","Evolved Investing","https://angel.co/black-sheep-capital","Brisbane","May ’15",20,2015-05-01
"Bolt Motorbikes","High performance electric motorbikes with no license, registration or insurance required.","https://angel.co/bolt-motorbikes","San Francisco","Dec ’14",61,2014-12-01
"Tappr","Next generation of payment technology","https://angel.co/tappr-1","Brisbane","Sep ’13",43,2013-09-01
"Pixmoto","Pixmoto Combines Powerful Video Storytelling With Inspiring Call to Action","https://angel.co/next-big-idea","Boulder","Oct ’15",10,2015-10-01
"Ruffle","Send fun, anonymous picture messages to any phone number.","https://angel.co/ruffle","Brisbane","Jun ’15",4,2015-06-01
"BDS.com.au","","https://angel.co/bds-com-au","Brisbane","Mar ’14",15,2014-03-01
"GoFair","""Name your price"" for travel activities","https://angel.co/gofair","Gold Coast","Sep ’14",5,2014-09-01
"Liquid State","Wordpress for apps.","https://angel.co/liquid-state","Brisbane","Nov ’13",25,2013-11-01
