Program,Recipient Name,Project Outline/Summary,Location / Suburb,Sector,University | Partner | Collaborator | End user organisation,Funding amount ($ GST excl.),Qld Science Priority,Project timeframe (months),Round Number
Aboriginal and Torres Strait Islander PhD Scholarships,"Meston, Mr Troy ",An indigenous journey through the 21st century educational landscapes of new metrics,Brisbane,Education and Training,The University of Queensland | Australian Council for Educational Research,120000,Knowledge Intensive Services,36,Round 1
Aboriginal and Torres Strait Islander Research Fellowships,"Hunter, Dr Cass ",Transforming hidden data: An integrative information system for Torres Strait,Cairns,Great Barrier Reef,CSIRO | Torres Strait Regional Authority | Reef and Rainforest Research Centre,240000,Digitally Enabled Technologies,36,Round 1
Business Development Fund,Tritium,"Funding will assist this world-leading Queensland business to bring its innovative tech products onto the market sooner. Their fast charging technology is providing drivers of electric vehicles greater convenience to charge their cars anywhere. With funding, they will expand their research and development, manufacturing and sales workforce, as well as finalise expansion at their new manufacturing facilities in Brisbane.",Brisbane,Renewable energy,St Baker Energy Innovation Trust and the Varley Group,2500000,,,Round 1
Business Development Fund,JESI Management Solutions,"Funding will increase the companies product development in innovative end-to-end journey management software.  The company's innovative end-to-end journet management software enables employers to safegaurd their employees whenever travelling, regardless of where they are in the world.",Townsville,Tech Firm (care industry software),Future Now Ventures,500000,,,Round 1
Hot DesQ,TimeLooper,Expansion into Queensland. TimeLooper is a tourism virtual reality startup. ,TBC,Entrepreneurialism + Tourism,,50000,,6,Round 1
Knowledge Transfer Partnerships,Bioproton Pty Ltd,Develop a new process to remove dags from feedlot cattle.,Acacia Ridge,"Agriculture, forestry and fisheries",University of Queensland,47960,,12,Round 1
Knowledge Transfer Partnerships,Ellume Pty Ltd,Develop an innovative ultra-sensitive test to help diagnose respiratory syncytial virus ��_ one of the most common causes of childhood lung infections.,East Brisbane,Health care and social assistance,University of Queensland,50000,,12,Round 1
Knowledge Transfer Partnerships,Tanda,Assess and communicate the benefits of the company��_s online employee management system in order to access new markets and seek future growth partnerships.,Fortitude Valley,Information media and telecommunications,QUT,43333,,12,Round 1
Knowledge Transfer Partnerships,Evolving Machine Intelligence Pty Ltd,"Use a new machine-intelligent technology to build and demonstrate a modelling tool for aviation engines, to reduce engine maintenance costs and risks significantly.",St Lucia,"Professional, scientific and technical services",University of Queensland,48527,,12,Round 1
Knowledge Transfer Partnerships,Mackay GP Superclinic,"Develop an online program to allow clinical patients to enter their details on their smartphone or device beforehand, saving staff and patient time.",Rural View,Health care and social assistance,Central Queensland University,50000,,12,Round 1
Knowledge Transfer Partnerships,GSL: A Good Start to Life,Develop online customer engagement and tools for young people affected by disability or mental health disorders.,Parramatta Park,Health care and social assistance,James Cook University,43001,,12,Round 1
Knowledge Transfer Partnerships,Hear and Say - Centre for Deaf Children Ltd,Create a next-generation prosthetic ear for children with microtia using advanced 3D computer modelling and printing technology.,Ashgrove,Health care and social assistance,QUT,49667,,12,Round 1
Knowledge Transfer Partnerships,ImmersaView Pty Ltd,"Improve existing immersive display software products to enable the company to compete for larger, more complex contracts.",Banyo,Information media and telecommunications,QUT,44267,,12,Round 1
Knowledge Transfer Partnerships,Music Broadcasting Society of Queensland,"Expand the Silver Memories radio service in Queensland aged care facilities, for the benefit of people living with dementia.",Coorparoo,Arts and recreational services,University of Queensland,24960,,12,Round 1
Knowledge Transfer Partnerships,Natura Pacific Pty Ltd,Create an educational app that will promote the use of native plant species and help reduce the spread of weeds in local ecosystems.,Burleigh BC,Other,Griffith University,22550,,12,Round 1
Knowledge Transfer Partnerships,RedEye Apps Pty Ltd,"Design and develop the second version of the company��_s engineering drawing and data management app, allowing clients to manage data and complete work orders on the go in a central cloud-based location via a Big Data solution.",Brisbane City,"Professional, scientific and technical services",QUT,37333,,12,Round 1
Knowledge Transfer Partnerships,Statcom Solutions Pty Ltd,Using new battery technology to create an energy storage system to provide power quality support on utility low voltage networks.,Herston,Manufacturing,QUT,50000,,12,Round 1
Knowledge Transfer Partnerships,Taylor Willis Pty Ltd,"Identify a range of efficient, cost-effective residential development housing products for 405 square metre lots, contributing to the creation of liveable communities.",Southport BC,"Professional, scientific and technical services",Bond University,41021,,12,Round 1
Knowledge Transfer Partnerships,The Corporations Professional Ecosystems Pty Ltd,Create an online professional ecosystem by developing an innovative website for educators.,Tingalpa,Education and Training,QUT,34073,,10,Round 1
Knowledge Transfer Partnerships,Nitestar Security Group,Expand the company��_s use of drone technology and research into new commercial services.,Bundall,"Professional, scientific and technical services",QUT,49332,,12,Round 1
Knowledge Transfer Partnerships,Airtime Holdings Pty Ltd,Undertake research and develop online calculators to reduce carbon emissions in high-rise buildings.,Fortitude Valley,"Electricity, gas, water and waste services",Griffith University,37000,,12,Round 1
Knowledge Transfer Partnerships,Hear Check,Develop an innovative audiology service accessible to rural and remote patients using telemedicine/telehealth techniques.,Mountain Creek,Health care and social assistance,University of Queensland,33074,,12,Round 1
Knowledge Transfer Partnerships,Townsville Engineering Industries Pty Ltd,"Develop low cost wireless sensors to monitor equipment and reduce downtime, primarily in the mining and sugar industries.",Bohle,Manufacturing,James Cook University,50000,,12,Round 1
Knowledge Transfer Partnerships,Truii Pty Ltd,Develop user-friendly charting and mapping functionality for the truii.com online data platform.,Highgate Hill,"Professional, scientific and technical services",QUT,48000,,12,Round 1
Knowledge Transfer Partnerships,WorkingMouse Pty Ltd,"Move the company��_s model-driven engineering approach to software development to a cloud-based platform, enabling customers to create and maintain their own software-as-a-service applications .",St Lucia,Information media and telecommunications,University of Queensland,50000,,12,Round 1
Knowledge Transfer Partnerships,YFS Ltd,Develop and evaluate a youth engagement model and upskill young people in digital mediums to become agents of change and help prevent domestic violence.,Slacks Creek,Health care and social assistance,Griffith University,36000,,11,Round 1
PhD Scholarships,"Aird, Miss Samantha ",Impacts of Long-Term Marine Resource Use on the GBR,Cairns,Great Barrier Reef,James Cook University | Lizard Island Research Station | Australian Museum | Queensland Museum,45000,Protecting Biodiversity,36,Round 1
PhD Scholarships,"Arnold, Miss Megan ",New prophylactic drugs for malaria,Brisbane; Melbourne; San Diego; Tres Cantos; Bangkok,Health care and social assistance,Griffith University | Medicines for Malaria Ventre (MMV) Switzerland | CSIRO Materials Science and Engineering,45000,Translation of Health,36,Round 1
PhD Scholarships,"Campagnolo, Miss Nadia ",The Association between Diet and Inflammation in Chronic Fatigue Syndrome,Gold Coast; Toowoomba; Brisbane,Health care and social assistance,Griffith University | National Centre for Neuroimmunology and Emerging Diseases | Menzies Health Institute Queensland | Stakeholder groups such as CFS/ME support groups in QLD and NSW as well as clinical experience with a leading  Allergist and a NCNED CFS/ME Dietician,45000,Translation of Health,36,Round 1
PhD Scholarships,"Cruz, Mrs Rena Louise ",Advanced 3D biofabrication approaches for the treatment of microtia,Brisbane,Health care and social assistance,Queensland University of Technology | Hear and Say,45000,Translation of Health,36,Round 1
PhD Scholarships,"Garrad, Miss Rebecca ",Pastures as tools for pest suppression,Toowoomba; Brisbane,"Agriculture, forestry and fisheries",The University of Queensland | CSIRO,45000,Enhanced Production Technologies,36,Round 1
PhD Scholarships,"Glasl, Miss Bettina",Microbial indicators for water quality and environmental stress assessment,Townsville; Brisbane,Great Barrier Reef,James Cook University | Australian Institute of Marine Science,45000,Protecting Biodiversity,36,Round 1
